italy ItLoad=43056,ItSolarGen=3487 1452668400000000000
italy ItLoad=42475,ItSolarGen=6037 1452672000000000000
italy ItLoad=41616,ItSolarGen=7039 1452675600000000000
italy ItLoad=39102,ItSolarGen=7500 1452679200000000000
italy ItLoad=38581,ItSolarGen=6644 1452682800000000000
italy ItLoad=39893,ItSolarGen=5134 1452686400000000000
italy ItLoad=40121,ItSolarGen=2306 1452690000000000000
italy ItLoad=41601,ItSolarGen=430 1452693600000000000
italy ItLoad=44801,ItSolarGen=29 1452697200000000000
italy ItLoad=44708,ItSolarGen=29 1452700800000000000
italy ItLoad=43407,ItSolarGen=29 1452704400000000000
italy ItLoad=40629,ItSolarGen=29 1452708000000000000
italy ItLoad=37781,ItSolarGen=29 1452711600000000000
italy ItLoad=33797,ItSolarGen=29 1452715200000000000
italy ItLoad=30741,ItSolarGen=29 1452718800000000000
italy ItLoad=27510,ItSolarGen=0 1452722400000000000
italy ItLoad=25893,ItSolarGen=0 1452726000000000000
italy ItLoad=25060,ItSolarGen=0 1452729600000000000
italy ItLoad=24815,ItSolarGen=0 1452733200000000000
italy ItLoad=25152,ItSolarGen=0 1452736800000000000
italy ItLoad=26827,ItSolarGen=0 1452740400000000000
italy ItLoad=32064,ItSolarGen=0 1452744000000000000
italy ItLoad=38817,ItSolarGen=43 1452747600000000000
italy ItLoad=42944,ItSolarGen=925 1452751200000000000
italy ItLoad=44133,ItSolarGen=1958 1452754800000000000
italy ItLoad=44203,ItSolarGen=2899 1452758400000000000
italy ItLoad=44269,ItSolarGen=3120 1452762000000000000
italy ItLoad=41826,ItSolarGen=3200 1452765600000000000
italy ItLoad=40836,ItSolarGen=2590 1452769200000000000
italy ItLoad=41949,ItSolarGen=1680 1452772800000000000
italy ItLoad=42716,ItSolarGen=784 1452776400000000000
italy ItLoad=43978,ItSolarGen=161 1452780000000000000
italy ItLoad=45630,ItSolarGen=29 1452783600000000000
italy ItLoad=45032,ItSolarGen=29 1452787200000000000
italy ItLoad=43832,ItSolarGen=29 1452790800000000000
italy ItLoad=40808,ItSolarGen=29 1452794400000000000
italy ItLoad=37957,ItSolarGen=29 1452798000000000000
italy ItLoad=33889,ItSolarGen=29 1452801600000000000
italy ItLoad=30729,ItSolarGen=29 1452805200000000000
italy ItLoad=27707,ItSolarGen=0 1452808800000000000
italy ItLoad=25953,ItSolarGen=0 1452812400000000000
italy ItLoad=25115,ItSolarGen=0 1452816000000000000
italy ItLoad=24893,ItSolarGen=0 1452819600000000000
italy ItLoad=25168,ItSolarGen=0 1452823200000000000
italy ItLoad=26933,ItSolarGen=0 1452826800000000000
italy ItLoad=32252,ItSolarGen=0 1452830400000000000
italy ItLoad=39015,ItSolarGen=3 1452834000000000000
italy ItLoad=42985,ItSolarGen=423 1452837600000000000
italy ItLoad=44174,ItSolarGen=1598 1452841200000000000
italy ItLoad=44320,ItSolarGen=3930 1452844800000000000
italy ItLoad=43810,ItSolarGen=4860 1452848400000000000
italy ItLoad=41198,ItSolarGen=5317 1452852000000000000
italy ItLoad=40142,ItSolarGen=4947 1452855600000000000
italy ItLoad=41302,ItSolarGen=3884 1452859200000000000
italy ItLoad=40934,ItSolarGen=1821 1452862800000000000
italy ItLoad=42198,ItSolarGen=346 1452866400000000000
italy ItLoad=44568,ItSolarGen=29 1452870000000000000
italy ItLoad=44647,ItSolarGen=29 1452873600000000000
italy ItLoad=43595,ItSolarGen=29 1452877200000000000
italy ItLoad=40572,ItSolarGen=29 1452880800000000000
italy ItLoad=37274,ItSolarGen=29 1452884400000000000
italy ItLoad=33445,ItSolarGen=29 1452888000000000000
italy ItLoad=30382,ItSolarGen=29 1452891600000000000
italy ItLoad=28109,ItSolarGen=0 1452895200000000000
italy ItLoad=25922,ItSolarGen=0 1452898800000000000
italy ItLoad=24693,ItSolarGen=0 1452902400000000000
italy ItLoad=24091,ItSolarGen=0 1452906000000000000
italy ItLoad=24111,ItSolarGen=0 1452909600000000000
italy ItLoad=24730,ItSolarGen=0 1452913200000000000
italy ItLoad=27683,ItSolarGen=0 1452916800000000000
italy ItLoad=31489,ItSolarGen=2 1452920400000000000
italy ItLoad=34074,ItSolarGen=425 1452924000000000000
italy ItLoad=36020,ItSolarGen=1761 1452927600000000000
italy ItLoad=36360,ItSolarGen=3630 1452931200000000000
italy ItLoad=35592,ItSolarGen=4691 1452934800000000000
italy ItLoad=33786,ItSolarGen=4924 1452938400000000000
italy ItLoad=32036,ItSolarGen=4724 1452942000000000000
italy ItLoad=30430,ItSolarGen=3636 1452945600000000000
italy ItLoad=30158,ItSolarGen=1713 1452949200000000000
italy ItLoad=31500,ItSolarGen=341 1452952800000000000
italy ItLoad=35317,ItSolarGen=29 1452956400000000000
italy ItLoad=37095,ItSolarGen=29 1452960000000000000
italy ItLoad=36880,ItSolarGen=29 1452963600000000000
italy ItLoad=34686,ItSolarGen=29 1452967200000000000
italy ItLoad=31741,ItSolarGen=29 1452970800000000000
italy ItLoad=29054,ItSolarGen=29 1452974400000000000
italy ItLoad=27045,ItSolarGen=29 1452978000000000000
italy ItLoad=25332,ItSolarGen=0 1452981600000000000
italy ItLoad=23255,ItSolarGen=0 1452985200000000000
italy ItLoad=22080,ItSolarGen=0 1452988800000000000
italy ItLoad=21460,ItSolarGen=0 1452992400000000000
italy ItLoad=21351,ItSolarGen=0 1452996000000000000
italy ItLoad=21838,ItSolarGen=0 1452999600000000000
italy ItLoad=23150,ItSolarGen=0 1453003200000000000
italy ItLoad=24434,ItSolarGen=29 1453006800000000000
italy ItLoad=26247,ItSolarGen=1030 1453010400000000000
italy ItLoad=28861,ItSolarGen=3215 1453014000000000000
italy ItLoad=30363,ItSolarGen=5476 1453017600000000000
italy ItLoad=30398,ItSolarGen=6065 1453021200000000000
italy ItLoad=30740,ItSolarGen=6884 1453024800000000000
italy ItLoad=28758,ItSolarGen=6206 1453028400000000000
italy ItLoad=26935,ItSolarGen=4544 1453032000000000000
italy ItLoad=26705,ItSolarGen=2064 1453035600000000000
